1932年，在美国西海岸的摄影师成立了F64小组，其主要成员有（ ）。,E.韦斯顿,L.坎宁安,斯特兰德,A.亚当斯,ABD,
下列关于直方图的描述，正确的是（ ）。,直方图左端像素太少，照片缺少亮部细节,直方图右端溢出，照片亮部细节损失太大,直方图两端溢出，照片亮部和暗部都造成不可逆转的细节损失,直方图右端没有像素，照片亮度过亮,ABC,
为了获得被拍摄影像都处于清晰范围的长景深效果，拍摄时可以采用（ ）。,长焦距镜头,短焦距镜头,小光圈,远距离拍摄,BCD,
光圈和快门在通光量上可以相互转换，采用F5.6、1/250秒的组合与（ ）组合的曝光量相同。,F8、1/125秒,F11、1/500秒,F4、1/500秒,F2.8、1/1000秒,ACD,
下列光源中，属于自然光源的是（ ）。,火焰光,太阳光,星光,闪电,BCD,
下列光源中，不属于瞬间光源的是（ ）。,白炽灯,卤钨灯,闪光灯,镝灯,ABD,
下列高调人像拍摄技巧中，正确的是（ ）。,人物衣着和背景为浅色或白色,散射光顺光照明,主副光比控制在1：3以上,曝光应不足一档到两档,AB,
120型照相机根据底片感光画框的大小可分为多个种类，常用的有（ ）。,24mm×36mm,56mm×42mm,56mm×56mm,56mm×112mm,BCD,
光圈是在镜头上自由控制进光量的多边形通光孔，对于控制（ ）起着关键作用。,画面透视,凝固动作,摄影曝光,景深大小,CD,
分辨率指单位长度中所能展现和分辨的像素数目，包括（ ）两种单位。,ppi,dpi,cdd,cmos,AB,
